file	start	end	angles
src-app/desktop/ui/src/index.css	16	21	a11y,design-conformance,correctness,maintainability
src-app/ui/src/core/sessionCreatedConversations.test.ts	1	77	tests-quality,patterns-conformance,maintainability
src-app/ui/src/core/sessionCreatedConversations.ts	1	104	correctness,security,concurrency,state-management,modularity,api-friendliness,maintainability
src-app/ui/src/dev/gallery/STATE_MATRIX.md	11	11	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/STATE_MATRIX.md	362	364	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/STATE_MATRIX.md	3776	3782	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/STATE_MATRIX.md	3790	3795	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	7	7	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	296	298	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	3451	3457	tests-quality,maintainability,design-conformance
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	3464	3469	tests-quality,maintainability,design-conformance
src-app/ui/src/index.css	45	58	a11y,design-conformance,correctness,maintainability
src-app/ui/src/modules/background/components/BackgroundRunsFooter.tsx	8	8	correctness,state-management,error-handling,design-conformance,perf
src-app/ui/src/modules/background/components/BackgroundRunsFooter.tsx	50	53	correctness,state-management,error-handling,design-conformance,perf
src-app/ui/src/modules/background/components/BackgroundRunsFooter.tsx	55	64	correctness,state-management,error-handling,design-conformance,perf
src-app/ui/src/modules/chat/core/stores/chat/actions/applyStreamFrame.ts	8	8	correctness,concurrency,state-management,design-conformance,maintainability
src-app/ui/src/modules/chat/core/stores/chat/actions/applyStreamFrame.ts	345	345	correctness,concurrency,state-management,design-conformance,maintainability
src-app/ui/src/modules/chat/core/stores/chat/actions/applyStreamFrame.ts	353	371	correctness,concurrency,state-management,design-conformance,maintainability
src-app/ui/src/modules/chat/core/stores/chat/actions/createConversation.ts	4	4	correctness,concurrency,modularity,security,state-management
src-app/ui/src/modules/chat/core/stores/chat/actions/createConversation.ts	22	30	correctness,concurrency,modularity,security,state-management
src-app/ui/src/modules/memory/chat-extension/extension.tsx	28	46	correctness,error-handling,design-conformance,patterns-conformance
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	8	13	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	23	38	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	46	46	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	75	85	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	87	93	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	97	101	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummarizationStatusPill.tsx	103	106	correctness,state-management,concurrency,perf,a11y,design-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/components/SummaryBoundaryMarker.tsx	6	6	correctness,state-management,maintainability,design-conformance
src-app/ui/src/modules/summarization/chat-extension/components/SummaryBoundaryMarker.tsx	27	37	correctness,state-management,maintainability,design-conformance
src-app/ui/src/modules/summarization/chat-extension/components/SummaryBoundaryMarker.tsx	42	42	correctness,state-management,maintainability,design-conformance
src-app/ui/src/modules/summarization/chat-extension/components/SummaryBoundaryMarker.tsx	47	49	correctness,state-management,maintainability,design-conformance
src-app/ui/src/modules/summarization/chat-extension/extension.tsx	34	83	correctness,error-handling,patterns-conformance,perf,design-conformance,concurrency
src-app/ui/src/modules/summarization/chat-extension/summaryRefreshTrigger.test.ts	1	170	tests-quality,patterns-conformance,maintainability
src-app/ui/src/modules/summarization/chat-extension/summaryRefreshTrigger.ts	1	122	correctness,api-friendliness,maintainability,design-conformance,extensibility
src-app/ui/src/modules/summarization/stores/conversationSummarization/actions/loadForConversation.ts	5	25	correctness,concurrency,error-handling,patterns-conformance
src-app/ui/tests/e2e/perf/live-audit-round2-composer.spec.ts	1	169	tests-quality,a11y,design-conformance,patterns-conformance
src-app/ui/tests/e2e/perf/live-audit-round2-network.spec.ts	1	221	tests-quality,design-conformance,patterns-conformance
