file	start	end	angles
sdk	1	1	correctness,patterns-conformance,maintainability
src-app/ui/src/dev/gallery/STATE_MATRIX.md	2753	2773	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	2781	2789	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	2834	2834	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	2842	2846	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/STATE_MATRIX.md	2867	2890	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	2503	2523	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	2530	2538	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	2578	2578	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	2585	2589	maintainability,patterns-conformance,tests-quality
src-app/ui/src/dev/gallery/stateMatrix.generated.ts	2608	2631	maintainability,patterns-conformance,tests-quality
src-app/ui/src/modules/mcp/chat-extension/components/AskUserWizardContent.tsx	6	6	correctness,responsive-fidelity,design-conformance,a11y,scope
src-app/ui/src/modules/mcp/chat-extension/components/AskUserWizardContent.tsx	406	420	correctness,responsive-fidelity,design-conformance,a11y,scope
src-app/ui/src/modules/mcp/chat-extension/components/AskUserWizardContent.tsx	427	427	correctness,responsive-fidelity,design-conformance,a11y,scope
src-app/ui/src/modules/mcp/chat-extension/components/AskUserWizardContent.tsx	432	465	correctness,responsive-fidelity,design-conformance,a11y,scope
src-app/ui/src/modules/mcp/chat-extension/components/AskUserWizardContent.tsx	468	473	correctness,responsive-fidelity,design-conformance,a11y,scope
src-app/ui/src/modules/mcp/chat-extension/components/ElicitationFormContent.tsx	5	5	correctness,responsive-fidelity,patterns-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ElicitationFormContent.tsx	207	212	correctness,responsive-fidelity,patterns-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ElicitationFormContent.tsx	325	329	correctness,responsive-fidelity,patterns-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ElicitationFormContent.tsx	349	349	correctness,responsive-fidelity,patterns-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ElicitationFormContent.tsx	403	406	correctness,responsive-fidelity,patterns-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ElicitationFormContent.tsx	425	425	correctness,responsive-fidelity,patterns-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ToolCallPendingApprovalCancelContent.tsx	31	34	correctness,responsive-fidelity,scope
src-app/ui/src/modules/mcp/chat-extension/components/ToolCallPendingApprovalContent.tsx	2	2	correctness,security,a11y,responsive-fidelity,design-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ToolCallPendingApprovalContent.tsx	268	277	correctness,security,a11y,responsive-fidelity,design-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ToolCallPendingApprovalContent.tsx	308	308	correctness,security,a11y,responsive-fidelity,design-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/components/ToolCallPendingApprovalContent.tsx	313	321	correctness,security,a11y,responsive-fidelity,design-conformance,scope
src-app/ui/src/modules/mcp/chat-extension/extension.tsx	54	58	correctness,responsive-fidelity,scope
src-app/ui/src/modules/mcp/chat-extension/extension.tsx	190	194	correctness,responsive-fidelity,scope
src-app/ui/src/modules/mcp/chat-extension/extension.tsx	341	345	correctness,responsive-fidelity,scope
src-app/ui/tests/e2e/visual/approval-actions-reachable.spec.ts	1	1	tests-quality,design-conformance,error-handling,correctness,i18n
src-app/ui/tests/e2e/visual/approval-actions-reachable.spec.ts	32	32	tests-quality,design-conformance,error-handling,correctness,i18n
src-app/ui/tests/e2e/visual/approval-actions-reachable.spec.ts	33	33	tests-quality,design-conformance,error-handling,correctness,i18n
src-app/ui/tests/e2e/visual/approval-actions-reachable.spec.ts	35	39	tests-quality,design-conformance,error-handling,correctness,i18n
src-app/ui/tests/e2e/visual/approval-actions-reachable.spec.ts	43	628	tests-quality,design-conformance,error-handling,correctness,i18n
sdk/packages/kit/src/KIT_MANIFEST.md	17	17	maintainability,api-friendliness,patterns-conformance
sdk/packages/kit/src/KIT_MANIFEST.md	231	234	maintainability,api-friendliness,patterns-conformance
sdk/packages/kit/src/index.ts	160	161	correctness,patterns-conformance,api-contract
sdk/packages/kit/src/kit/card.tsx	66	160	correctness,security,a11y,patterns-conformance,maintainability,modularity,i18n,design-conformance
