file	start	end	angles
CLAUDE.md	952	964	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
sdk	1	1	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/handler.rs	60	83	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/handler.rs	96	111	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/handler.rs	122	125	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/handler.rs	173	173	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/handler.rs	271	350	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	94	110	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	114	116	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	124	129	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	143	152	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	159	191	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	388	479	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	664	668	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	670	670	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	672	672	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	679	679	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	694	695	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	697	697	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	699	699	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/src/modules/chat/stream/registry.rs	706	881	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/tests/chat/mod.rs	42	44	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/tests/chat/stream_slot_reclaim_test.rs	1	260	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
src-app/server/tests/sync/subscribe_test.rs	559	921	correctness,concurrency,error-handling,security,perms-authz,api-contract,perf,tests-quality,patterns-conformance,modularity,extensibility,maintainability,api-friendliness,design-conformance
