file	start	end	angles
sdk	1	1	ux-accessibility,patterns-conformance,test-reality,coverage-honesty
src-app/server/src/modules/workflow/validate.rs	341	416	correctness-logic,security-authz,api-contract,error-handling,maintainability,extensibility,test-quality,dead-code,design-conformance,wired-and-behaving
src-app/server/src/modules/workflow/validate.rs	1908	2648	correctness-logic,security-authz,api-contract,error-handling,maintainability,extensibility,test-quality,dead-code,design-conformance,wired-and-behaving
src-app/server/tests/mcp/list_tools_for_builder_test.rs	1	298	test-quality,correctness-logic,security-authz,api-contract,error-handling
src-app/server/tests/mcp/mod.rs	33	34	test-quality,correctness-logic,security-authz,api-contract,error-handling
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	1	41	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	44	44	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	51	55	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	61	65	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	67	67	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	79	85	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	89	89	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	93	94	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	100	120	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	124	129	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	133	137	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	141	141	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	146	148	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	152	156	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	160	160	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	165	165	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	174	174	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	178	178	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	183	184	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	188	188	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
src-app/ui/src/dev/gallery/RUNTIME_FINDINGS.md	192	192	fixture-reality,coverage-honesty,state-completeness,patterns-conformance,maintainability,dead-code,gallery-fidelity
